Status,Brand,Model,CPU,RAM,Storage,Storagetype,GPU,Screen,Touch,FinalPrice
New,Asus,Chromebook,Intel Celeron,8,64,eMMC,RTX 3050,14.0,Yes,449.0
New,Lenovo,V15,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,699.0
New,Asus,Chromebook,Intel Celeron,8,32,SSD,RTX 3050,14.0,No,349.0
New,MSI,Vector,Intel Core i9,32,1000,SSD,RTX 4080,16.0,No,2599.0
New,HP,15S,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,579.01
New,Acer,Aspire,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,749.0
New,Asus,ExpertBook,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,549.0
New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,979.0
New,Asus,ZenBook,AMD Ryzen 5,16,512,SSD,RTX 3050,14.0,No,969.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1099.0
New,Lenovo,Legion,Intel Core i5,16,512,SSD,RTX 3060,15.6,No,1319.01
New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,14.0,Yes,799.0
New,Apple,MacBook Air,Apple M1,8,256,SSD,RTX 3050,13.3,No,1219.0
New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,No,879.0
New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 2050,14.0,No,1359.0
New,Asus,F515,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,839.0
New,Gigabyte,G5,Intel Core i5,16,512,SSD,RTX 4060,15.6,No,1109.0
New,HP,Chromebook,AMD Ryzen 3,8,128,SSD,RTX 3050,14.0,No,579.01
New,Dell,Vostro,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,599.0
New,Apple,MacBook Air,Apple M2,8,256,SSD,RTX 3050,13.6,No,1519.0
New,Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4060,15.6,No,1349.0
New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,999.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,829.01
New,Lenovo,Legion,Intel Core i7,16,1000,SSD,RTX 3060,15.6,No,1569.01
